"YEAR" "TRIAL" "LOCATION" "TRIAL_ID" "YEAR_LOCATION" "BLOCK" "LINE_ID" "YIELD" "GERMPLASM_TYPE" "GENOTYPE_FILE"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "2" "GID_10396" 5058.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "2" "GID_343" 6020.83333333333 "Temperate Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "2" "GID_13324" 2595.83333333333 "Temperate Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "3" "GID_9411" 6370.83333333333 "Indica" "IND"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "3" "GID_12700" 6537.5 "Tropical Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "3" "GID_10396" 5066.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "3" "GID_343" 5891.66666666667 "Temperate Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "3" "GID_13324" 4587.5 "Temperate Japonica" "JAP"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "1" "GID_9411" 5945.83333333333 "Indica" "IND"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "1" "GID_10396" 5687.5 "Tropical Japonica" "JAP"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "1" "GID_9189" 4704.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "2" "GID_9411" 6004.16666666667 "Indica" "IND"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "2" "GID_10396" 5779.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "2" "GID_9189" 5858.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "3" "GID_9411" 5662.5 "Indica" "IND"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "3" "GID_10396" 6745.83333333333 "Tropical Japonica" "JAP"
"1998" "E2-4" "UEPL" "1998_E2-4_UEPL" "1998-UEPL" "3" "GID_9189" 4225 "Tropical Japonica" "JAP"
"1998" "E2-5" "UEPL" "1998_E2-5_UEPL" "1998-UEPL" "1" "GID_9411" 5270.83333333333 "Indica" "IND"
"1998" "E2-5" "UEPL" "1998_E2-5_UEPL" "1998-UEPL" "1" "GID_10396" 5204.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-5" "UEPL" "1998_E2-5_UEPL" "1998-UEPL" "2" "GID_9411" 4450 "Indica" "IND"
"1998" "E2-5" "UEPL" "1998_E2-5_UEPL" "1998-UEPL" "2" "GID_10396" 3050 "Tropical Japonica" "JAP"
"1998" "E2-5" "UEPL" "1998_E2-5_UEPL" "1998-UEPL" "3" "GID_9411" 7458.33333333333 "Indica" "IND"
"1998" "E2-5" "UEPL" "1998_E2-5_UEPL" "1998-UEPL" "3" "GID_10396" 5616.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "1" "GID_2553" 2012.5 "Temperate Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "1" "GID_9411" 5412.5 "Indica" "IND"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "1" "GID_5306" 6666.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "1" "GID_5306" 6416.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "1" "GID_10396" 5804.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "1" "GID_20053" 6358.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "2" "GID_2553" 2608.33333333333 "Temperate Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "2" "GID_9411" 3741.66666666667 "Indica" "IND"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "2" "GID_5306" 5033.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "2" "GID_5306" 4533.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "2" "GID_10396" 7183.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "2" "GID_20053" 6791.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "3" "GID_2553" 2487.5 "Temperate Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "3" "GID_9411" 4745.83333333333 "Indica" "IND"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "3" "GID_5306" 6233.33333333333 "Tropical Japonica" "JAP"
